0xf20b338752976878754518183873602902360704,2021-05-26,748038227394767434932
0xf20b338752976878754518183873602902360704,2021-05-25,1975715152078525877247
0xf20b338752976878754518183873602902360704,2021-05-24,2184104447829715541190
0xf20b338752976878754518183873602902360704,2021-05-23,2734910183675305234642
0xf20b338752976878754518183873602902360704,2021-05-22,2103732073681938209554
0xf20b338752976878754518183873602902360704,2021-05-21,2634868262544663633522
0xf20b338752976878754518183873602902360704,2021-05-20,2824190195757749097556
0xf20b338752976878754518183873602902360704,2021-05-19,4297910994064813447854
0xf20b338752976878754518183873602902360704,2021-05-18,2316250487485824506931
0xf20b338752976878754518183873602902360704,2021-05-17,2180315254006554442691
0xf20b338752976878754518183873602902360704,2021-05-16,1963593186843378787385
0xf20b338752976878754518183873602902360704,2021-05-15,2347442137404262161827
0xf20b338752976878754518183873602902360704,2021-05-14,2530108511624931502188
0xf20b338752976878754518183873602902360704,2021-05-13,2971579531404220556072
0xf20b338752976878754518183873602902360704,2021-05-12,4189219170738772933487
0xf20b338752976878754518183873602902360704,2021-05-11,3941147071043188838848
0xf20b338752976878754518183873602902360704,2021-05-10,3349298486512981887378
0xf20b338752976878754518183873602902360704,2021-05-09,2716748309377967989469
0xf20b338752976878754518183873602902360704,2021-05-08,2567330575653669710908
0xf20b338752976878754518183873602902360704,2021-05-07,1916302397070386674355
0xf20b338752976878754518183873602902360704,2021-05-06,1919730062986304082715
0xf20b338752976878754518183873602902360704,2021-05-05,1198467485808697132328
